127.0.0.1 - - [26/Sep/2023:09:44:28 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:44:28 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:44:29 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:44:33 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:44:44 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:44:57 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:45:28 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:45:29 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:45:31 +0800] "POST /test_/forword.jsp HTTP/1.1" 500 2615
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:46:16 +0800] "GET /test_/show.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:46:18 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:46:20 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:33 +0800] "GET /test_/forword.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:34 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:43 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:43 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:46 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:46 +0800] "GET /test_/show.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:47 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:50 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:50:50 +0800] "GET /test_/show.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:52:39 +0800] "GET /test_/forword.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:52:50 +0800] "GET /test_/select.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:52:51 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:52:53 +0800] "POST /test_/forword.jsp HTTP/1.1" 302 -
