127.0.0.1 - - [13/Nov/2023:17:10:21 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:10:22 +0800] "GET /homework_11_7/Login.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:10:23 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:11:04 +0800] "GET /homework_11_7/Login.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:11:38 +0800] "POST /homework_11_7/LoginServerlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:12:23 +0800] "POST /homework_11_7/LoginServerlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:12:52 +0800] "GET /homework_11_7/Login.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:13:04 +0800] "POST /homework_11_7/LoginServerlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:13:04 +0800] "GET /homework_11_7/IndexServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:13:13 +0800] "GET /homework_11_7/LooutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:13:13 +0800] "GET /homework_11_7/IndexServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Nov/2023:17:13:22 +0800] "GET /homework_11_7/Login.jsp HTTP/1.1" 200 338
